18:00:43.650090 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 362000:364896, ack 1, win 58, options [nop,nop,TS val 28020923 ecr 28020922], length 2896
18:00:43.653118 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 364896:367792, ack 1, win 58, options [nop,nop,TS val 28020924 ecr 28020923], length 2896
18:00:43.656146 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 367792:370688, ack 1, win 58, options [nop,nop,TS val 28020924 ecr 28020924], length 2896
18:00:43.659174 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 370688:373584, ack 1, win 58, options [nop,nop,TS val 28020925 ecr 28020924], length 2896
18:00:43.662202 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 373584:376480, ack 1, win 58, options [nop,nop,TS val 28020926 ecr 28020925], length 2896
18:00:43.665230 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 376480:379376, ack 1, win 58, options [nop,nop,TS val 28020926 ecr 28020926], length 2896
18:00:43.668258 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 379376:382272, ack 1, win 58, options [nop,nop,TS val 28020927 ecr 28020926], length 2896
18:00:43.671286 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 382272:385168, ack 1, win 58, options [nop,nop,TS val 28020928 ecr 28020927], length 2896
18:00:43.674314 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 385168:388064, ack 1, win 58, options [nop,nop,TS val 28020928 ecr 28020928], length 2896
18:00:43.677342 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 388064:390960, ack 1, win 58, options [nop,nop,TS val 28020929 ecr 28020928], length 2896
18:00:43.680370 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 390960:393856, ack 1, win 58, options [nop,nop,TS val 28020930 ecr 28020929], length 2896
18:00:43.683398 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 393856:396752, ack 1, win 58, options [nop,nop,TS val 28020930 ecr 28020930], length 2896
18:00:43.686426 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 396752:399648, ack 1, win 58, options [nop,nop,TS val 28020931 ecr 28020930], length 2896
18:00:43.689454 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 399648:402544, ack 1, win 58, options [nop,nop,TS val 28020932 ecr 28020931], length 2896
18:00:43.692482 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 402544:405440, ack 1, win 58, options [nop,nop,TS val 28020932 ecr 28020932], length 2896
18:00:43.695510 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 405440:408336, ack 1, win 58, options [nop,nop,TS val 28020933 ecr 28020932], length 2896
18:00:43.698538 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 408336:411232, ack 1, win 58, options [nop,nop,TS val 28020934 ecr 28020933], length 2896
18:00:43.701566 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 411232:414128, ack 1, win 58, options [nop,nop,TS val 28020934 ecr 28020934], length 2896
18:00:43.704594 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 414128:417024, ack 1, win 58, options [nop,nop,TS val 28020935 ecr 28020934], length 2896
18:00:43.707622 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 417024:419920, ack 1, win 58, options [nop,nop,TS val 28020936 ecr 28020935], length 2896
18:00:43.710650 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 419920:422816, ack 1, win 58, options [nop,nop,TS val 28020936 ecr 28020936], length 2896
18:00:43.713678 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 422816:425712, ack 1, win 58, options [nop,nop,TS val 28020937 ecr 28020936], length 2896
18:00:43.716706 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 425712:428608, ack 1, win 58, options [nop,nop,TS val 28020938 ecr 28020937], length 2896
18:00:43.719734 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 428608:431504, ack 1, win 58, options [nop,nop,TS val 28020938 ecr 28020938], length 2896
18:00:43.722762 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 431504:434400, ack 1, win 58, options [nop,nop,TS val 28020939 ecr 28020938], length 2896
18:00:43.725790 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 434400:437296, ack 1, win 58, options [nop,nop,TS val 28020940 ecr 28020939], length 2896
18:00:43.728818 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 437296:440192, ack 1, win 58, options [nop,nop,TS val 28020940 ecr 28020940], length 2896
18:00:43.731846 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 440192:443088, ack 1, win 58, options [nop,nop,TS val 28020941 ecr 28020940], length 2896
18:00:43.734874 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 443088:445984, ack 1, win 58, options [nop,nop,TS val 28020942 ecr 28020941], length 2896
18:00:43.737902 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 445984:448880, ack 1, win 58, options [nop,nop,TS val 28020943 ecr 28020942], length 2896
18:00:43.740930 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 448880:451776, ack 1, win 58, options [nop,nop,TS val 28020943 ecr 28020943], length 2896
18:00:43.743958 IP 10.0.0.1.42621 > 10.0.0.2.5001: Flags [.], seq 451776:454672, ack 1, win 58, options [nop,nop,TS val 28020944 ecr 28020943], length 2896
